,_id,defense,defended,comments,__v,metadata.scouterName,metadata.matchNumber,metadata.robotTeam,metadata.robotPosition,fouls.insideRobot,fouls.protectedZone,fouls.pinning,fouls.multiplePieces,fouls.other,break.mechanismDmg,break.batteryFall,break.commsFail,humanShooter.Success,humanShooter.Failed,fouls.cageFoul,break.bumperFall
208,67c38feaa522b4c28eabe0c1,noDef,False,[],0,Olivia,35,10147,red_3,0,0,0,0,0,0,0,0,,,,
209,67c38feaa522b4c28eabe0ba,noDef,False,[],0,Olivia,35,3255,red_2,0,0,0,0,0,0,0,0,,,,
210,67c39f0fa522b4c28eabe15f,noDef,False,['source_only'],0,Olivia,36,2584,red_1,0,0,0,0,0,0,0,0,,,,
211,67c39f0fa522b4c28eabe161,noDef,False,['source_only'],0,Olivia,36,2102,red_2,0,0,0,0,0,0,0,0,,,,
212,67c39f0fa522b4c28eabe164,noDef,False,[],0,Olivia,36,9452,red_3,0,0,0,0,0,0,0,0,,,,
213,67c39f0fa522b4c28eabe167,noDef,False,['source_only'],0,Olivia,37,498,red_1,0,0,0,0,0,0,0,0,,,,
214,67c39f0fa522b4c28eabe16b,noDef,False,[],0,Olivia,37,988,red_2,0,0,0,0,0,0,0,0,,,,
215,67c39f0fa522b4c28eabe16f,noDef,False,['source_only'],0,Olivia,37,3647,red_3,0,0,0,0,0,0,0,0,,,,
216,67c39f0fa522b4c28eabe171,noDef,False,[],0,Olivia,38,3863,red_1,0,0,0,0,0,0,0,0,,,,
217,67c39f0fa522b4c28eabe173,noDef,False,[],0,Olivia,38,5817,red_2,0,0,0,0,0,0,0,0,,,,
218,67c39f0fa522b4c28eabe175,noDef,False,[],0,Olivia,38,399,red_3,0,0,0,0,0,0,0,0,,,,
219,67c39f0fa522b4c28eabe17a,noDef,False,['source_only'],0,Olivia,39,9599,red_1,0,0,0,0,0,0,0,0,,,,
220,67c39f0fa522b4c28eabe184,noDef,False,[],0,Olivia,39,6560,red_2,0,0,0,0,0,0,0,0,,,,
221,67c39f0fa522b4c28eabe186,noDef,False,[],0,Olivia,39,9534,red_3,0,0,0,0,0,0,0,0,,,,
222,67c39f0fa522b4c28eabe188,noDef,False,[],0,Olivia,40,4414,red_1,0,0,0,0,0,0,0,0,,,,
223,67c39f0fa522b4c28eabe18a,noDef,False,[],0,Olivia,40,3255,red_2,0,0,0,0,0,0,0,0,,,,
224,67c39f0fa522b4c28eabe18c,noDef,False,['coral stuck'],0,Olivia,40,6885,red_3,0,0,0,0,0,0,1,0,,,,
225,67c39f0fa522b4c28eabe191,noDef,False,[],0,Olivia,41,5515,red_1,0,0,0,0,0,0,0,0,,,,
226,67c39f10a522b4c28eabe199,noDef,False,[],0,Olivia,41,9772,red_2,0,0,0,0,0,1,0,0,,,,1.0
227,67c39f10a522b4c28eabe19f,noDef,False,[],0,Olivia,41,10147,red_3,0,0,0,0,0,0,0,0,,,,
228,67c39f10a522b4c28eabe1a1,noDef,False,[],0,Olivia,42,5025,red_1,0,0,0,0,0,0,0,0,,,,
229,67c39f10a522b4c28eabe1a3,noDef,False,[],0,Olivia,42,702,red_2,0,0,0,0,0,0,0,0,,,,
230,67c39f10a522b4c28eabe1a5,noDef,False,[],0,Olivia,42,2485,red_3,0,0,0,0,0,0,0,0,,,,
231,67c3a078a522b4c28eabe213,noDef,False,['source_only'],0,Nicholas Salazar ,36,6658,blue_1,0,0,0,0,0,0,0,1,,,,
232,67c3a079a522b4c28eabe217,noDef,False,['source_only'],0,Nicholas Salazar ,36,2543,blue_2,0,0,0,0,0,0,0,0,,,,
233,67c3a079a522b4c28eabe219,noDef,False,[],0,Nicholas Salazar ,36,991,blue_3,0,0,0,0,0,0,0,0,,,,
234,67c3a079a522b4c28eabe21b,noDef,False,['source_only'],0,Nicholas Salazar ,37,8768,blue_1,0,0,0,0,0,0,0,0,0.0,0.0,,
235,67c3a079a522b4c28eabe21d,noDef,False,['source_only'],0,Nicholas Salazar ,37,610,blue_2,0,0,0,0,0,0,0,0,,,,
236,67c3a079a522b4c28eabe21f,noDef,False,"['good_driving', 'source_only']",0,Nicholas Salazar ,37,10120,blue_3,0,0,0,0,0,0,0,0,,,,
237,67c3a079a522b4c28eabe221,noDef,False,['source_only'],0,Nicholas Salazar ,38,114,blue_1,0,0,0,0,0,0,0,0,,,,
238,67c3a079a522b4c28eabe22d,noDef,False,['great_driving'],0,Nicholas Salazar ,38,1388,blue_2,0,0,0,0,0,0,0,0,,,,
239,67c3a079a522b4c28eabe22f,someDef,False,['source_only'],0,Nicholas Salazar ,38,2658,blue_3,0,0,0,0,0,0,0,0,6.0,0.0,,
240,67c3a079a522b4c28eabe231,noDef,False,[],0,Nicholas Salazar ,39,4400,blue_1,0,0,0,0,0,0,0,0,,,,
241,67c3a079a522b4c28eabe233,noDef,False,['source_only'],0,Nicholas Salazar ,39,3881,blue_2,0,0,0,0,0,0,0,0,0.0,0.0,,
242,67c3a079a522b4c28eabe235,noDef,False,"['good_driving', 'source_only']",0,Nicholas Salazar ,39,5137,blue_3,0,0,0,0,0,0,0,0,,,,
243,67c3a079a522b4c28eabe238,noDef,False,['source_only'],0,Nicholas Salazar ,40,1452,blue_1,0,0,0,0,0,0,0,0,1.0,0.0,,
244,67c3a07aa522b4c28eabe244,someDef,False,['source_only'],0,Nicholas Salazar ,40,1159,blue_2,0,0,0,0,0,0,0,0,,,,
245,67c3a07aa522b4c28eabe246,noDef,False,['source_only'],0,Nicholas Salazar ,40,2375,blue_3,0,0,0,0,0,0,0,0,,,,
246,67c3a07aa522b4c28eabe248,noDef,False,"['good_driving', 'source_only']",0,Nicholas Salazar ,41,2584,blue_1,0,0,0,0,0,0,0,0,,,,
247,67c3a07aa522b4c28eabe24a,noDef,False,"['good_driving', 'source_only']",0,Nicholas Salazar ,41,2839,blue_2,0,0,0,0,0,0,0,0,0.0,0.0,,
248,67c3a07aa522b4c28eabe24f,noDef,False,['source_only'],0,Nicholas Salazar ,41,8119,blue_3,0,0,0,0,0,0,0,0,,,,
249,67c3a07aa522b4c28eabe251,noDef,False,[],0,Nicholas Salazar ,42,991,blue_1,0,0,0,0,0,0,0,0,0.0,0.0,,
250,67c3a07aa522b4c28eabe258,noDef,False,"['source_only', 'good_driving']",0,Nicholas Salazar ,42,610,blue_2,0,0,0,0,0,0,0,0,,,,
251,67c3a07aa522b4c28eabe25e,someDef,False,['source_only'],0,Nicholas Salazar ,42,3647,blue_3,0,0,0,0,0,0,0,0,,,,
252,67c3a07aa522b4c28eabe260,noDef,False,['good_driving'],0,,43,3863,blue_1,0,0,0,0,0,0,0,0,2.0,0.0,,
253,67c3a07aa522b4c28eabe262,noDef,False,"['source_only', 'knock_pieces', 'good_driving']",0,,43,10120,blue_2,0,0,0,0,0,0,0,0,,,,
254,67c3a07ba522b4c28eabe269,someDef,False,['okay_defense'],0,,43,988,blue_3,0,0,0,0,0,0,0,0,,,,
255,67c3a564a522b4c28eabe2b7,noDef,False,[],0,Olivia,43,5817,red_1,0,0,0,0,0,0,0,0,,,,
256,67c3a564a522b4c28eabe2b9,noDef,False,['source_only'],0,Olivia,43,2543,red_2,0,0,0,0,0,0,0,0,,,,
257,67c3a564a522b4c28eabe2bb,noDef,False,[],0,Olivia,43,4,red_3,0,0,0,0,0,0,0,0,,,,
258,67c3a564a522b4c28eabe2bd,noDef,False,[],0,Olivia,44,2102,red_1,0,0,0,0,0,0,0,0,0.0,0.0,,
259,67c3a564a522b4c28eabe2bf,noDef,False,[],0,Olivia,44,6766,red_2,0,0,0,0,0,0,0,0,,,,
260,67c3a564a522b4c28eabe2c1,noDef,False,[],0,Olivia,44,114,red_3,0,0,0,0,0,0,0,0,,,,
261,67c3a564a522b4c28eabe2c9,noDef,False,[],0,Olivia,45,399,red_1,0,0,0,0,0,0,0,0,,,,
262,67c3a564a522b4c28eabe2cb,noDef,False,[],0,Olivia,45,6657,red_2,0,0,0,0,0,0,0,0,,,,
263,67c3a564a522b4c28eabe2cf,noDef,True,[],0,Olivia,45,9452,red_3,0,0,0,0,0,0,0,0,3.0,0.0,,
264,67c3a7d7a522b4c28eabe33b,noDef,False,[],0,,44,8015,blue_1,0,0,0,0,0,0,0,0,,,,
265,67c3a7d7a522b4c28eabe33d,noDef,False,[],0,,44,4400,blue_2,0,0,0,0,0,0,0,0,,,,
266,67c3a7d7a522b4c28eabe33f,noDef,False,[],0,,44,9599,blue_3,0,0,0,0,0,0,0,0,0.0,0.0,,
267,67c3a7d8a522b4c28eabe341,noDef,True,[],0,Bradley,45,2658,blue_1,0,0,0,0,0,0,0,0,,,,
268,67c3a7d8a522b4c28eabe343,noDef,False,[],0,Bradley,45,4201,blue_2,0,0,0,0,0,1,0,0,,,,
269,67c3a7d8a522b4c28eabe345,noDef,True,[],0,Bradley,45,8768,blue_3,0,0,0,0,0,0,0,0,0.0,0.0,,
270,67c3a7d8a522b4c28eabe351,noDef,False,[],0,Bradley,46,1388,blue_1,0,0,0,0,0,0,0,0,,,,
271,67c3a7d8a522b4c28eabe353,noDef,False,[],0,Bradley,46,6658,blue_2,0,0,0,0,0,0,0,1,0.0,0.0,,
272,67c3a7d8a522b4c28eabe355,noDef,False,[],0,Bradley,46,8891,blue_3,0,0,0,0,0,0,0,0,,,,
273,67c3b087a522b4c28eabe36a,noDef,False,[],0,Olivia,46,3598,red_1,0,0,0,0,0,0,0,0,,,,
274,67c3b087a522b4c28eabe36c,noDef,False,[],0,Olivia,46,3759,red_2,0,0,0,0,0,0,0,0,0.0,0.0,,
275,67c3b087a522b4c28eabe36e,noDef,False,['great_driving'],0,Olivia,46,498,red_3,0,0,0,0,0,0,0,0,,,,
276,67c3b087a522b4c28eabe370,noDef,False,[],0,Vanessa,47,2485,red_1,0,0,0,0,0,0,0,0,,,,
277,67c3b087a522b4c28eabe372,fullDef,False,[],0,Vanessa,47,3647,red_2,0,0,0,0,0,0,0,0,,,,
278,67c3b087a522b4c28eabe374,noDef,False,[],0,Vanessa,47,4414,red_3,0,0,0,0,0,0,0,0,0.0,0.0,,
279,67c3b087a522b4c28eabe380,noDef,False,[],0,Vanessa,48,991,red_1,0,0,0,0,0,0,0,0,,,,
280,67c3b087a522b4c28eabe382,noDef,False,[],0,Vanessa,48,702,red_2,0,0,0,0,0,0,0,0,,,,
281,67c3b087a522b4c28eabe384,noDef,False,['algae stuck'],0,Vanessa,48,9534,red_3,0,0,0,0,0,0,0,0,,,,
282,67c3b087a522b4c28eabe386,fullDef,True,[],0,Vanessa,49,8119,red_1,0,0,0,0,0,0,0,0,,,,
283,67c3b087a522b4c28eabe388,noDef,True,[],0,Vanessa,49,10147,red_2,0,0,0,0,0,0,0,0,,,,
284,67c3b087a522b4c28eabe38a,noDef,False,[],0,Vanessa,49,114,red_3,0,0,0,0,0,0,0,0,,,,
285,67c3b088a522b4c28eabe398,noDef,False,[],0,Vanessa,50,6657,red_1,0,0,0,0,0,0,0,0,,,,
286,67c3b088a522b4c28eabe39a,noDef,False,['good_driving'],0,Vanessa,50,3255,red_2,0,0,0,0,0,0,0,0,,,,
287,67c3b088a522b4c28eabe39c,fullDef,False,['effective_defense'],0,Vanessa,50,988,red_3,0,0,0,0,0,0,0,0,,,,
288,67c3b088a522b4c28eabe39e,noDef,False,['good_driving'],0,Mmasi,51,3759,red_1,0,0,0,0,0,0,0,0,,,,
289,67c3b088a522b4c28eabe3a0,noDef,False,['good_driving'],0,Mmasi,51,6658,red_2,0,0,0,0,0,0,0,0,,,,
290,67c3b088a522b4c28eabe3a6,noDef,False,['good_driving'],0,Mmasi,51,4400,red_3,0,3,0,0,0,0,0,0,,,,
291,67c3b6b5a522b4c28eabe42a,noDef,False,[],0,Bradley,47,2375,blue_1,0,0,0,0,0,0,0,0,0.0,0.0,,
292,67c3b6b5a522b4c28eabe42e,noDef,False,[],0,Bradley,47,2584,blue_2,0,0,0,0,0,0,0,0,,,,
293,67c3b6b5a522b4c28eabe430,noDef,False,[],0,Bradley,47,5515,blue_3,0,0,0,0,0,0,0,0,,,,
294,67c3b6b5a522b4c28eabe432,fullDef,False,[],0,Bradley,48,9772,blue_1,0,0,0,0,0,1,0,0,,,,
295,67c3b6b5a522b4c28eabe437,noDef,True,[],0,Bradley,47,2375,blue_1,0,0,0,0,0,0,0,1,0.0,0.0,,
